current_path,current_label,current_short_label,current_room,current_nerd_group,unlock_week,unlock_phase,user_job,lifecycle_phase,frequency,urgency,current_surface_type,current_entry_points,current_back_return_behavior,current_discoverability,current_mobile_usability,current_scroll_burden,overlap_or_ambiguity,belongs_in_permanent_nav,recommended_parent_hub,recommended_canonical_path,recommended_surface_type,recommended_placement,route_compatibility,feature_loss_risk,required_acceptance_test
/broadcast,Broadcast,Live,game_week,gameday,always,,Watch the broadcast presentation,game day / postgame,weekly,medium,presentation/detail exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Several routes are views of the same game object and result loop,no,Game,/game/current/broadcast,hub tab or section,Game Center > Broadcast,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Game, reach the complete Broadcast capability in no more than 3 intentional interactions (1 from an active related task); opening /broadcast resolves to the new surface with state, unlock rules, and back behavior intact."
/presentation,Presentation,Cinema,game_week,gameday,always,,View cinematic game presentation,game day / postgame,weekly,medium,presentation/detail exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Several routes are views of the same game object and result loop,no,Game,/game/current/presentation,hub tab or section,Game Center > Presentation,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Game, reach the complete Presentation capability in no more than 3 intentional interactions (1 from an active related task); opening /presentation resolves to the new surface with state, unlock rules, and back behavior intact."
/play-by-play,Play-by-Play,PbP,game_week,gameday,always,,Read the game event log,game day / postgame,weekly,medium,presentation/detail exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Several routes are views of the same game object and result loop,no,Game,/game/current/play-by-play,hub tab or section,Game Center > Play-by-Play,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Game, reach the complete Play-by-Play capability in no more than 3 intentional interactions (1 from an active related task); opening /play-by-play resolves to the new surface with state, unlock rules, and back behavior intact."
/game-flow,Game Flow,Flow,game_week,gameday,always,,Analyze momentum and drives,postgame,weekly,medium,presentation/detail exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Several routes are views of the same game object and result loop,no,Game,/game/current/flow,hub tab or section,Game Center > Flow,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Game, reach the complete Game Flow capability in no more than 3 intentional interactions (1 from an active related task); opening /game-flow resolves to the new surface with state, unlock rules, and back behavior intact."
/film-room,Film Room,Film,game_week,gameday,always,,Review tactical and player lessons,postgame,weekly,high,presentation/detail exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Several routes are views of the same game object and result loop,no,Game,/game/current/film,hub tab or section,Game Center > Film,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Game, reach the complete Film Room capability in no more than 3 intentional interactions (1 from an active related task); opening /film-room resolves to the new surface with state, unlock rules, and back behavior intact."
/schedule,Schedule,Schedule,game_week,gameday,always,,Review past and future games,all,frequent,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Game,/game/schedule,hub tab or section,Game > Schedule,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Game, reach the complete Schedule capability in no more than 3 intentional interactions (1 from an active related task); opening /schedule resolves to the new surface with state, unlock rules, and back behavior intact."
/super-bowl,Super Bowl,SB,game_week,gameday,always,,Experience the championship event,Super Bowl,rare,critical when active,presentation/detail exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Game,/game/super-bowl,event-driven presentation,championship takeover + archive,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Game, reach the complete Super Bowl capability in no more than 3 intentional interactions (1 from an active related task); opening /super-bowl resolves to the new surface with state, unlock rules, and back behavior intact."
/standings,Standings,Stand,league,league,always,,Understand league position,regular season / playoffs,weekly,high,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",medium,usually reached through the overloaded More drawer; screen behavior varies,very high measured,none uniquely identified,yes — League,League,/league/standings,hub tab or section,League default,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete Standings capability in no more than 3 intentional interactions (1 from an active related task); opening /standings resolves to the new surface with state, unlock rules, and back behavior intact."
/power-rankings,Power Rankings,Rankings,league,league,midseason,,Review comparative team strength,midseason onward,weekly,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,League,/league/rankings,hub tab or section,League > Rankings,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete Power Rankings capability in no more than 3 intentional interactions (1 from an active related task); opening /power-rankings resolves to the new surface with state, unlock rules, and back behavior intact."
/league-pulse,League Pulse,Pulse,league,league,always,,Scan major league changes,all,weekly,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,League-awareness feeds have weakly communicated boundaries,no,League,/league/pulse,timeline/news/history view,League > Pulse,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete League Pulse capability in no more than 3 intentional interactions (1 from an active related task); opening /league-pulse resolves to the new surface with state, unlock rules, and back behavior intact."
/league/weather,Weather,Weather,league,league,always,,Review weather and game impacts,regular season,weekly,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,League,/league/weather,hub tab or section,League > Context > Weather,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete Weather capability in no more than 3 intentional interactions (1 from an active related task); opening /league/weather resolves to the new surface with state, unlock rules, and back behavior intact."
/newsroom,Newsroom,Digest,league,league,always,,Review curated league digest,all,weekly,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,League-awareness feeds have weakly communicated boundaries,no,League,/league/news,timeline/news/history view,League > News,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete Newsroom capability in no more than 3 intentional interactions (1 from an active related task); opening /newsroom resolves to the new surface with state, unlock rules, and back behavior intact."
/news,News,News,league,league,always,,Browse complete league news,all,frequent,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,League-awareness feeds have weakly communicated boundaries,no,League,/league/news/all,hub tab or section,League > News > All,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete News capability in no more than 3 intentional interactions (1 from an active related task); opening /news resolves to the new surface with state, unlock rules, and back behavior intact."
/social,MFSN,Social,league,league,always,,Review MFSN social chatter,all,frequent,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,League-awareness feeds have weakly communicated boundaries,no,League,/league/news/mfsn,hub tab or section,League > News > MFSN,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete MFSN capability in no more than 3 intentional interactions (1 from an active related task); opening /social resolves to the new surface with state, unlock rules, and back behavior intact."
/commissioner,Commissioner,Commish,league,league,always,,Review commissioner actions,all,occasional,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,League,/league/governance/commissioner,hub tab or section,League > Governance,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete Commissioner capability in no more than 3 intentional interactions (1 from an active related task); opening /commissioner resolves to the new surface with state, unlock rules, and back behavior intact."
/cba,CBA Negotiation,CBA,league,league,always,,Manage collective-bargaining events,CBA event,rare,critical when active,workflow exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,League,/league/governance/cba,decision workflow or wizard,event-driven governance workflow,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete CBA Negotiation capability in no more than 3 intentional interactions (1 from an active related task); opening /cba resolves to the new surface with state, unlock rules, and back behavior intact."
/league-rules,League Rules,Rules,league,league,always,,Review rule configuration and effects,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,League,/league/governance/rules,hub tab or section,League > Governance > Rules,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete League Rules capability in no more than 3 intentional interactions (1 from an active related task); opening /league-rules resolves to the new surface with state, unlock rules, and back behavior intact."
/analytics,Analytics,Data,league,league,always,,Analyze league and team performance,all,periodic,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,high measured,none uniquely identified,no,League,/league/analytics,data dashboard and analytics view,League > Analytics,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete Analytics capability in no more than 3 intentional interactions (1 from an active related task); opening /analytics resolves to the new surface with state, unlock rules, and back behavior intact."
/records,Record Book,Records,league,league,always,,Review historical records,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,League,/league/history/records,archive/history detail,League > History > Records,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete Record Book capability in no more than 3 intentional interactions (1 from an active related task); opening /records resolves to the new surface with state, unlock rules, and back behavior intact."
/stat-central,Stat Central,Stats,league,league,always,,Explore detailed statistics,all,frequent,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,League,/league/stats,collection/list with filters,League > Stats,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From League, reach the complete Stat Central capability in no more than 3 intentional interactions (1 from an active related task); opening /stat-central resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise,Franchise,Franchise,legacy,dynasty,always,,Understand franchise identity and long-term arc,all,periodic,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",medium,usually reached through the overloaded More drawer; screen behavior varies,high measured,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/overview,phase-aware hub,Dynasty overview,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Franchise capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise resolves to the new surface with state, unlock rules, and back behavior intact."
/legends,Legends,Legends,legacy,dynasty,always,,Review franchise legends,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/legends,archive/history detail,Dynasty > Legends,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Legends capability in no more than 3 intentional interactions (1 from an active related task); opening /legends resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/career,GM Career,Career,legacy,dynasty,always,,Review the GM career,all,periodic,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/career,data dashboard and analytics view,Dynasty > Career,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete GM Career capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/career resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/book,Franchise Book,Book,legacy,dynasty,always,,Browse the franchise book,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/book,archive/history detail,Dynasty > Archive > Book,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Franchise Book capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/book resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/chronicle,Chronicle,Chronicle,legacy,dynasty,always,,Browse the franchise chronicle,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/chronicle,timeline/news/history view,Dynasty > Archive > Chronicle,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Chronicle capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/chronicle resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/scrapbook,Scrapbook,Scrap,legacy,dynasty,always,,Browse saved franchise moments,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/scrapbook,archive/history detail,Dynasty > Archive > Scrapbook,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Scrapbook capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/scrapbook resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/hall,Hall of Fame,Hall,legacy,dynasty,always,,Review the franchise Hall of Fame,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/hall-of-fame,archive/history detail,Dynasty > Honors > Hall of Fame,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Hall of Fame capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/hall resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/trophy-room,Trophy Room,Trophies,legacy,dynasty,always,,Review championships and trophies,all,occasional,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/trophies,archive/history detail,Dynasty > Honors > Trophies,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Trophy Room capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/trophy-room resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/eras,Era Hall,Eras,legacy,dynasty,always,,Review franchise eras,multi-season,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/eras,timeline/news/history view,Dynasty > History > Eras,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Era Hall capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/eras resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/mvps,MVP Plaques,MVPs,legacy,dynasty,always,,Review MVP plaques,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/honors/mvps,archive/history detail,Dynasty > Honors > MVPs,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete MVP Plaques capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/mvps resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/playoff-lore,Playoff Lore,Lore,legacy,dynasty,always,,Review playoff history and lore,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/history/playoffs,archive/history detail,Dynasty > History > Playoffs,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Playoff Lore capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/playoff-lore resolves to the new surface with state, unlock rules, and back behavior intact."
/franchise/achievements,Achievements,Achieve,legacy,dynasty,always,,Review achievement progress,all,periodic,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/achievements,data dashboard and analytics view,Dynasty > Achievements,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Achievements capability in no more than 3 intentional interactions (1 from an active related task); opening /franchise/achievements resolves to the new surface with state, unlock rules, and back behavior intact."
/legacy,Legacy,Legacy,legacy,dynasty,always,,Review overall dynasty legacy,multi-season,periodic,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/legacy,hub tab or section,Dynasty > Legacy,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Legacy capability in no more than 3 intentional interactions (1 from an active related task); opening /legacy resolves to the new surface with state, unlock rules, and back behavior intact."
/legacy/named-games,Named Games,Named,legacy,dynasty,always,,Review named historic games,multi-season,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/history/named-games,archive/history detail,Dynasty > History > Named Games,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Named Games capability in no more than 3 intentional interactions (1 from an active related task); opening /legacy/named-games resolves to the new surface with state, unlock rules, and back behavior intact."
/legacy/bloodlines,Bloodlines,Bloodlines,legacy,dynasty,always,,Review player and coaching bloodlines,multi-season,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/history/bloodlines,archive/history detail,Dynasty > History > Bloodlines,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Bloodlines capability in no more than 3 intentional interactions (1 from an active related task); opening /legacy/bloodlines resolves to the new surface with state, unlock rules, and back behavior intact."
/awards,Awards Hub,Awards,legacy,dynasty,always,,Review awards and honors,all,periodic,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,Many archive routes compete without one emotionally coherent Dynasty hierarchy,no,Dynasty,/dynasty/honors/awards,archive/history detail,Dynasty > Honors > Awards,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Dynasty, reach the complete Awards Hub capability in no more than 3 intentional interactions (1 from an active related task); opening /awards resolves to the new surface with state, unlock rules, and back behavior intact."
